clusters,TOTPOP20,WHITEPOP20,BLACKPOP20,AMINPOP20,ASIANPOP20,NHPIPOP20,OTHPOP20,WHITEBLACKPOP20,WHITEAMINPOP20,WHITEASIANPOP20,WHITENHPIPOP20,WHITEOTHPOP20,BLACKAMINPOP20,BLACKASIANPOP20,BLACKNHPIPOP20,BLACKOTHPOP20,AMINASIANPOP20,AMINNHPIPOP20,AMINOTHPOP20,ASIANNHPIPOP20,ASIANOTHPOP20,NHPIOTHPOP20,WHITEBLACKAMINPOP20,WHITEBLACKASIANPOP20,WHITEBLACKNHPIPOP20,WHITEBLACKOTHPOP20,WHITEAMINASIANPOP20,WHITEAMINNHPIPOP20,WHITEAMINOTHPOP20,WHITEASIANNHPIPOP20,WHITEASIANOTHPOP20,WHITENHPIOTHPOP20,BLACKAMINASIANPOP20,BLACKAMINNHPIPOP20,BLACKAMINOTHPOP20,BLACKASIANNHPIPOP20,BLACKASIANOTHPOP20,BLACKNHPIOTHPOP20,AMINASIANNHPIPOP20,AMINASIANOTHPOP20,AMINNHPIOTHPOP20,ASIANNHPIOTHPOP20,WHITEBLACKAMINASIANPOP20,WHITEBLACKAMINNHPIPOP20,WHITEBLACKAMINOTHPOP20,WHITEBLACKASIANNHPIPOP20,WHITEBLACKASIANOTHPOP20,WHITEBLACKNHPIOTHPOP20,WHITEAMINASIANNHPIPOP20,WHITEAMINASIANOTHPOP20,WHITEAMINNHPIOTHPOP20,WHITEASIANNHPIOTHPOP20,BLACKAMINASIANNHPIPOP20,BLACKAMINASIANOTHPOP20,BLACKAMINNHPIOTHPOP20,BLACKASIANNHPIOTHPOP20,AMINASIANNHPIOTHPOP20,WHITEBLACKAMINASIANNHPIPOP20,WHITEBLACKAMINASIANOTHPOP20,WHITEBLACKAMINNHPIOTHPOP20,WHITEBLACKASIANNHPIOTHPOP20,WHITEAMINASIANNHPIOTHPOP20,BLACKAMINASIANNHPIOTHPOP20,WHITEBLACKAMINASIANNHPIOTHPOP20
1,2136175,1489436,402377,5679,74991,770,33930,22979,31486,15036,676,43574,3083,1080,101,2494,144,20,498,253,352,48,2459,596,44,837,485,62,1227,373,270,10,69,9,68,25,13,3,3,3,0,12,147,10,254,15,15,2,37,21,0,6,1,3,0,0,0,41,38,0,1,2,1,6
2,87898,17744,61466,246,3439,28,1432,928,249,386,21,752,468,83,3,223,5,0,13,12,50,1,127,51,0,32,5,2,19,14,35,0,2,0,9,3,4,0,0,0,0,3,7,0,14,1,2,0,0,1,0,0,1,1,0,0,0,7,5,0,0,0,0,4
3,193019,108489,55686,677,8008,64,6266,2965,2153,1653,61,4822,503,181,10,422,17,0,66,25,37,2,341,79,7,137,32,2,121,39,34,0,11,0,19,2,1,0,0,0,0,0,21,0,41,6,0,0,6,1,0,0,0,1,0,0,0,1,6,0,0,0,1,3
4,101821,46314,41315,234,6450,30,1795,1183,533,1107,29,1637,334,109,9,174,3,0,31,24,35,3,196,29,2,65,26,7,64,19,17,1,4,0,9,1,1,0,0,0,0,0,9,0,10,1,1,0,2,2,0,0,0,0,0,0,0,3,3,0,0,0,0,0
5,420893,313356,36921,1081,33872,128,8855,4012,4972,4344,107,10394,374,204,25,478,42,5,163,61,95,7,363,156,7,170,105,9,309,68,55,3,19,3,5,4,3,0,1,3,0,0,33,6,41,0,7,0,2,11,0,0,0,0,0,0,0,7,7,0,0,0,0,0
6,162459,94447,51276,441,3104,65,3405,2326,2141,858,54,2863,320,89,4,277,15,2,62,23,24,3,268,61,12,70,39,6,106,21,11,0,12,0,4,5,1,0,0,0,0,0,18,1,13,0,0,0,8,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0
7,505986,429057,23566,1312,11535,272,7480,5415,9694,3429,199,11475,247,132,1,329,36,8,105,59,70,18,481,110,12,166,114,15,304,103,69,0,13,6,5,8,0,3,2,0,0,0,25,0,64,2,0,0,13,2,0,2,0,0,0,0,0,16,11,0,1,0,0,0
8,196185,170041,5999,443,6263,42,1847,1754,2927,1503,65,4405,75,52,5,130,12,5,32,19,23,4,141,44,0,57,47,5,112,50,18,3,5,0,5,1,1,0,0,0,0,0,12,0,26,2,1,0,1,3,0,0,0,0,0,0,0,4,0,0,0,1,0,0
9,439694,355508,31490,849,20585,122,4632,3912,5251,4526,124,10107,321,197,25,400,30,7,81,59,104,6,329,97,5,200,100,11,281,99,62,5,9,0,13,4,5,0,1,0,0,0,38,3,58,3,7,0,7,6,0,0,0,0,0,0,0,7,6,0,0,2,0,0
10,283325,252087,4844,813,5164,86,2328,2237,6488,1817,108,6403,34,28,2,106,16,0,28,32,11,1,197,39,1,74,69,12,174,46,20,1,0,0,2,0,5,0,0,0,0,5,9,1,24,1,3,2,0,1,0,1,0,1,0,0,0,2,1,0,0,1,0,0
11,162924,147753,1255,450,2342,39,1202,939,4045,921,60,3414,11,15,1,36,9,1,15,10,4,3,113,20,0,31,59,3,97,17,14,0,0,0,1,0,0,0,0,2,0,4,13,1,15,0,0,0,5,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0
12,92740,57651,23396,425,2117,54,2196,1250,1225,758,55,2383,382,60,16,164,6,1,35,27,21,3,171,39,6,83,23,7,90,17,14,3,3,1,7,4,1,2,0,1,0,0,18,0,14,1,1,1,1,0,0,0,0,0,1,0,0,4,2,0,0,0,0,0
13,1179245,803761,190119,6930,24918,3630,46207,17706,23820,7849,1222,39541,2870,687,285,2061,66,20,554,288,233,51,2248,556,107,824,363,56,1076,307,190,49,42,14,83,23,17,3,3,2,0,5,121,23,191,25,16,3,20,9,0,2,0,0,1,2,0,18,23,0,2,1,0,2
14,326385,244756,31174,1852,9448,1687,8696,4617,6699,2770,375,11154,440,195,38,528,23,2,139,121,68,7,483,181,21,199,97,23,280,100,55,14,16,0,10,3,2,0,0,1,0,4,23,15,54,3,4,0,3,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0
15,239570,107441,80212,1729,7396,319,20182,3527,2814,1391,166,10323,1177,178,73,609,21,5,194,72,68,12,611,114,25,266,53,8,284,47,40,14,10,1,34,5,4,2,1,2,0,0,40,6,43,12,9,3,4,3,0,2,0,1,1,0,0,6,9,0,1,0,0,0
16,414346,262207,72331,2890,9346,1248,26855,6504,8419,2261,481,16483,1109,268,167,827,27,4,245,127,109,26,888,195,52,331,100,17,402,104,56,19,20,2,30,9,8,0,2,1,0,3,37,13,63,18,7,2,8,1,0,2,0,0,0,2,0,8,10,0,2,0,0,0
17,329401,252401,34098,1505,5611,527,7370,4934,7214,2397,348,9835,517,173,59,462,11,11,129,58,36,8,583,148,32,195,115,8,262,107,62,12,11,7,24,8,8,1,1,0,0,0,32,0,56,6,2,0,7,2,0,0,0,0,0,0,0,2,4,0,0,0,0,2
18,162949,146945,2615,950,1032,173,1504,1123,4280,631,76,3021,48,15,12,48,4,0,16,31,14,5,160,16,3,38,39,4,60,16,3,7,2,4,5,0,0,0,0,1,0,0,5,4,8,7,3,0,0,4,0,7,0,1,0,0,0,1,0,0,1,3,0,4
19,117249,100129,4825,548,1528,441,2145,1642,2291,420,60,2565,47,27,5,120,9,4,36,61,1,6,119,12,16,40,19,14,59,12,2,10,3,3,6,0,1,0,1,0,0,1,2,3,8,0,1,0,4,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0
20,528210,435334,36255,2039,10481,943,9320,7403,10535,2941,304,9541,377,147,31,390,23,9,85,113,82,37,615,138,20,171,133,11,301,101,53,23,13,4,25,10,4,0,4,0,1,2,32,22,33,9,17,1,2,9,0,14,6,2,0,0,0,14,17,1,5,2,2,3
