,id,districtr_id
0,c141-1,22781-1
1,c137-1,22939-1
2,c276-1,27056-1
3,c1231-1,29057-1
4,c1354-1,29985-1
5,c1372-1,30128-1
6,c1473-1,30563-1
7,c1525-1,30766-1
8,c1525-2,30766-2
9,c1585-1,30922-1
10,c1648-1,31217-1
11,c1700-1,31419-1
12,c1709-1,31446-1
13,c1830-1,31893-1
14,c1834-1,31900-1
15,c1834-2,31900-2
16,c1834-3,31900-3
17,c1837-2,31904-2
18,c1837-3,31904-3
19,c1895-1,32155-1
20,c1969-1,32461-1
21,c2032-1,32737-1
22,c2099-1,32868-1
23,c2099-2,32868-2
24,c2099-4,32868-4
25,c2135-1,32953-1
26,c2185-1,33106-1
27,c2195-1,33117-1
28,c2210-1,33146-1
29,c2417-2,33672-2
30,c2417-3,33672-3
31,c250-1,26783-1
32,c274-1,27049-1
33,c275-1,27052-1
34,c1154-1,28490-1
35,c1232-1,29058-1
36,c1366-1,30055-1
37,c1462-1,30546-1
38,c1465-1,30550-1
39,c1524-1,30760-1
40,c1587-1,30925-1
41,c1713-1,31456-1
42,c1723-1,31472-1
43,c1874-1,32076-1
44,c1898-1,32164-1
45,c1900-1,32166-1
46,c1922-1,32277-1
47,c2028-1,32718-1
48,c2032-2,32737-2
49,c2032-3,32737-3
50,c2099-3,32868-3
51,c2109-1,32887-1
52,c2185-2,33106-2
53,c2185-3,33106-3
54,c2186-1,33108-1
55,c2191-1,33118-1
56,c2213-1,33149-1
57,c2417-1,33672-1
58,c145-1,17993-1
59,c112-1,25644-1
60,c235-1,26738-1
61,c254-1,26846-1
62,c1394-1,30234-1
63,c1393-1,30235-1
64,c1399-1,30251-1
65,c1407-1,30267-1
66,c1409-1,30269-1
67,c1531-1,30791-1
68,c1804-1,31769-1
69,c2162-1,33047-1
70,c2418-1,33689-1
71,c2419-1,33692-1
72,c2521-1,34081-1
73,c2524-1,34086-1
74,c2561-1,34369-1
75,c2593-1,34484-1
76,c157-1,17998-1
77,c113-1,25651-1
78,c167-1,26069-1
79,c168-1,26074-1
80,c190-1,26144-1
81,c191-1,26149-1
82,c228-1,26694-1
83,c267-1,26996-1
84,c1260-1,29285-1
85,c1319-1,29836-1
86,c1332-1,29860-1
87,c1334-1,29879-1
88,c1390-1,30228-1
89,c1402-1,30241-1
90,c1406-1,30261-1
91,c1408-1,30264-1
92,c1461-1,30554-1
93,c1529-1,30787-1
94,c1640-1,31081-1
95,c1643-1,31086-1
96,c1646-1,31122-1
97,c1654-1,31255-1
